t=10.04   sita=1.9728   r=3.23893
t=10.05   sita=1.97429   r=3.23924
t=10.06   sita=1.9758   r=3.23946
t=10.07   sita=1.97733   r=3.23957
t=10.08   sita=1.97888   r=3.2396
t=10.09   sita=1.98045   r=3.23952
t=10.1   sita=1.98204   r=3.23935
t=10.11   sita=1.98365   r=3.23909
t=10.12   sita=1.98527   r=3.23872
t=10.13   sita=1.98691   r=3.23827
t=10.14   sita=1.98858   r=3.23771
t=10.15   sita=1.99026   r=3.23706
t=10.16   sita=1.99195   r=3.23631
t=10.17   sita=1.99367   r=3.23547
t=10.18   sita=1.9954   r=3.23453
t=10.19   sita=1.99715   r=3.23349
t=10.2   sita=1.99892   r=3.23236
t=10.21   sita=2.00071   r=3.23113
t=10.22   sita=2.00251   r=3.22981
t=10.23   sita=2.00433   r=3.22838
t=10.24   sita=2.00616   r=3.22686
t=10.25   sita=2.00802   r=3.22525
t=10.26   sita=2.00988   r=3.22353
t=10.27   sita=2.01177   r=3.22172
t=10.28   sita=2.01367   r=3.21981
t=10.29   sita=2.01559   r=3.2178
t=10.3   sita=2.01752   r=3.2157
t=10.31   sita=2.01947   r=3.21349
t=10.32   sita=2.02143   r=3.21119
t=10.33   sita=2.02341   r=3.20879
t=10.34   sita=2.0254   r=3.20629
t=10.35   sita=2.02741   r=3.20369
t=10.36   sita=2.02943   r=3.201
t=10.37   sita=2.03147   r=3.1982
t=10.38   sita=2.03352   r=3.1953
t=10.39   sita=2.03559   r=3.19231
t=10.4   sita=2.03767   r=3.18921
t=10.41   sita=2.03976   r=3.18602
t=10.42   sita=2.04187   r=3.18272
t=10.43   sita=2.04399   r=3.17932
t=10.44   sita=2.04613   r=3.17582
t=10.45   sita=2.04828   r=3.17222
t=10.46   sita=2.05044   r=3.16852
t=10.47   sita=2.05261   r=3.16472
t=10.48   sita=2.0548   r=3.16081
t=10.49   sita=2.05701   r=3.1568
t=10.5   sita=2.05922   r=3.15269
t=10.51   sita=2.06145   r=3.14848
t=10.52   sita=2.06369   r=3.14416
t=10.53   sita=2.06594   r=3.13974
t=10.54   sita=2.0682   r=3.13521
t=10.55   sita=2.07048   r=3.13059
t=10.56   sita=2.07277   r=3.12585
t=10.57   sita=2.07507   r=3.12101
t=10.58   sita=2.07738   r=3.11607
t=10.59   sita=2.0797   r=3.11102
t=10.6   sita=2.08203   r=3.10587
t=10.61   sita=2.08438   r=3.10061
t=10.62   sita=2.08674   r=3.09524
t=10.63   sita=2.0891   r=3.08977
t=10.64   sita=2.09148   r=3.08419
t=10.65   sita=2.09387   r=3.0785
t=10.66   sita=2.09627   r=3.07271
t=10.67   sita=2.09868   r=3.0668
t=10.68   sita=2.1011   r=3.06079
t=10.69   sita=2.10353   r=3.05468
t=10.7   sita=2.10597   r=3.04845
t=10.71   sita=2.10842   r=3.04211
t=10.72   sita=2.11088   r=3.03567
t=10.73   sita=2.11334   r=3.02912
t=10.74   sita=2.11582   r=3.02245
t=10.75   sita=2.11831   r=3.01568
t=10.76   sita=2.1208   r=3.0088
t=10.77   sita=2.1233   r=3.00181
t=10.78   sita=2.12581   r=2.99471
t=10.79   sita=2.12833   r=2.9875
t=10.8   sita=2.13086   r=2.98017
t=10.81   sita=2.1334   r=2.97274
t=10.82   sita=2.13594   r=2.9652
t=10.83   sita=2.13849   r=2.95755
t=10.84   sita=2.14104   r=2.94978
t=10.85   sita=2.14361   r=2.94191
t=10.86   sita=2.14618   r=2.93392
t=10.87   sita=2.14875   r=2.92583
t=10.88   sita=2.15133   r=2.91762
t=10.89   sita=2.15392   r=2.9093
t=10.9   sita=2.15651   r=2.90088
t=10.91   sita=2.15911   r=2.89234
t=10.92   sita=2.16172   r=2.88369
t=10.93   sita=2.16432   r=2.87494
t=10.94   sita=2.16694   r=2.86607
t=10.95   sita=2.16955   r=2.8571
t=10.96   sita=2.17217   r=2.84801
t=10.97   sita=2.17479   r=2.83882
t=10.98   sita=2.17742   r=2.82952
t=10.99   sita=2.18004   r=2.82012
t=11   sita=2.18267   r=2.8106
t=11.01   sita=2.1853   r=2.80098
t=11.02   sita=2.18794   r=2.79125
t=11.03   sita=2.19057   r=2.78142
t=11.04   sita=2.1932   r=2.77149
t=11.05   sita=2.19583   r=2.76145
t=11.06   sita=2.19847   r=2.75131
t=11.07   sita=2.2011   r=2.74106
t=11.08   sita=2.20372   r=2.73072
t=11.09   sita=2.20635   r=2.72028
t=11.1   sita=2.20897   r=2.70973
t=11.11   sita=2.21159   r=2.69909
t=11.12   sita=2.21421   r=2.68836
t=11.13   sita=2.21682   r=2.67753
t=11.14   sita=2.21943   r=2.6666
t=11.15   sita=2.22203   r=2.65559
