依次输入R0，m，fai
100 1 0
依次输入sita0，r0,nround.//nround>=2
0.01 10 100
n=1   sita=0.0728319   r=8.86527
n=2   sita=0.135664   r=8.54699
n=3   sita=0.198496   r=8.35386
n=4   sita=0.261327   r=8.21563
n=5   sita=0.324159   r=8.10862
n=6   sita=0.386991   r=8.02193
n=7   sita=0.449823   r=7.94961
n=8   sita=0.512655   r=7.88808
n=9   sita=0.575487   r=7.83501
n=10   sita=0.638319   r=7.78878
n=11   sita=0.70115   r=7.74827
n=12   sita=0.763982   r=7.71261
n=13   sita=0.826814   r=7.68118
n=14   sita=0.889646   r=7.65349
n=15   sita=0.952478   r=7.62914
n=16   sita=1.01531   r=7.60782
n=17   sita=1.07814   r=7.5893
n=18   sita=1.14097   r=7.57338
n=19   sita=1.20381   r=7.5599
n=20   sita=1.26664   r=7.54873
n=21   sita=1.32947   r=7.53977
n=22   sita=1.3923   r=7.53294
n=23   sita=1.45513   r=7.5282
n=24   sita=1.51796   r=7.5255
n=25   sita=1.5808   r=7.52481
n=26   sita=1.64363   r=7.52614
n=27   sita=1.70646   r=7.52949
n=28   sita=1.76929   r=7.53489
n=29   sita=1.83212   r=7.54238
n=30   sita=1.89496   r=7.55204
n=31   sita=1.95779   r=7.56393
n=32   sita=2.02062   r=7.57818
n=33   sita=2.08345   r=7.59491
n=34   sita=2.14628   r=7.61429
n=35   sita=2.20911   r=7.63654
n=36   sita=2.27195   r=7.66192
n=37   sita=2.33478   r=7.69076
n=38   sita=2.39761   r=7.72348
n=39   sita=2.46044   r=7.7606
n=40   sita=2.52327   r=7.80283
n=41   sita=2.58611   r=7.85109
n=42   sita=2.64894   r=7.90666
n=43   sita=2.71177   r=7.97132
n=44   sita=2.7746   r=8.04774
n=45   sita=2.83743   r=8.1401
n=46   sita=2.90027   r=8.25549
n=47   sita=2.9631   r=8.40758
n=48   sita=3.02593   r=8.62833
n=49   sita=3.08876   r=9.0308
n=50   sita=3.15159   r=9.59729
n=51   sita=3.21442   r=8.46545
n=52   sita=3.27726   r=8.14791
n=53   sita=3.34009   r=7.95521
n=54   sita=3.40292   r=7.81728
n=55   sita=3.46575   r=7.7105
n=56   sita=3.52858   r=7.624
n=57   sita=3.59142   r=7.55183
n=58   sita=3.65425   r=7.49043
n=59   sita=3.71708   r=7.43746
n=60   sita=3.77991   r=7.39133
n=61   sita=3.84274   r=7.3509
n=62   sita=3.90557   r=7.31531
n=63   sita=3.96841   r=7.28395
n=64   sita=4.03124   r=7.25631
n=65   sita=4.09407   r=7.232
n=66   sita=4.1569   r=7.21073
n=67   sita=4.21973   r=7.19225
n=68   sita=4.28257   r=7.17636
n=69   sita=4.3454   r=7.1629
n=70   sita=4.40823   r=7.15176
n=71   sita=4.47106   r=7.14281
n=72   sita=4.53389   r=7.136
n=73   sita=4.59673   r=7.13127
n=74   sita=4.65956   r=7.12857
n=75   sita=4.72239   r=7.12788
n=76   sita=4.78522   r=7.12921
n=77   sita=4.84805   r=7.13255
n=78   sita=4.91088   r=7.13794
n=79   sita=4.97372   r=7.14543
n=80   sita=5.03655   r=7.15506
n=81   sita=5.09938   r=7.16693
n=82   sita=5.16221   r=7.18115
n=83   sita=5.22504   r=7.19785
n=84   sita=5.28788   r=7.21719
n=85   sita=5.35071   r=7.2394
n=86   sita=5.41354   r=7.26473
n=87   sita=5.47637   r=7.29351
n=88   sita=5.5392   r=7.32616
n=89   sita=5.60203   r=7.3632
n=90   sita=5.66487   r=7.40535
n=91   sita=5.7277   r=7.45351
n=92   sita=5.79053   r=7.50897
n=93   sita=5.85336   r=7.57349
n=94   sita=5.91619   r=7.64975
n=95   sita=5.97903   r=7.74191
n=96   sita=6.04186   r=7.85705
n=97   sita=6.10469   r=8.00881
n=98   sita=6.16752   r=8.22907
n=99   sita=6.23035   r=8.63059
四阶龙格库塔法
