请依次输入R0，m,fai,A,B
1.5 5 0 1 1
请输入t=0时刻的初始位置sita0，r0
0.01 0.01
请输入时间步长h，总执行时间T
1 100
t=1   sita=4.03442   r=0.0907821
t=2   sita=4.83557   r=0.310985
t=3   sita=5.9787   r=1.81563
t=4   sita=5.45347   r=1.87531
t=5   sita=5.43092   r=1.0504
t=6   sita=5.96771   r=-0.0150379
t=7   sita=1.58691   r=-0.0131165
t=8   sita=5.48243   r=0.0552611
t=9   sita=9.13442   r=-0.154593
t=10   sita=7.39515   r=-0.58622
t=11   sita=7.22369   r=-3.15473
t=12   sita=7.48953   r=-3.15311
t=13   sita=7.54519   r=-3.30442
t=14   sita=7.54471   r=-3.81403
t=15   sita=7.55029   r=-4.98554
t=16   sita=7.54396   r=-5.67847
t=17   sita=7.55492   r=-6.01438
t=18   sita=7.55337   r=-6.01513
t=19   sita=7.55191   r=-6.01596
t=20   sita=7.55054   r=-6.01689
t=21   sita=7.54926   r=-6.01793
t=22   sita=7.54807   r=-6.0191
t=23   sita=7.54697   r=-6.02043
t=24   sita=7.54595   r=-6.02194
t=25   sita=7.54502   r=-6.0237
t=26   sita=7.54417   r=-6.02574
t=27   sita=7.54341   r=-6.02814
t=28   sita=7.54272   r=-6.03102
t=29   sita=7.54212   r=-6.03452
t=30   sita=7.54159   r=-6.03884
t=31   sita=7.54114   r=-6.0443
t=32   sita=7.54076   r=-6.0514
t=33   sita=7.54046   r=-6.06093
t=34   sita=7.54022   r=-6.07429
t=35   sita=7.54005   r=-6.09403
t=36   sita=7.53993   r=-6.12539
t=37   sita=7.53986   r=-6.18023
t=38   sita=7.53983   r=-6.2895
t=39   sita=7.53983   r=-6.54422
t=40   sita=7.53982   r=-7.15601
t=41   sita=7.53983   r=-7.45594
t=42   sita=7.53983   r=-7.46163
t=43   sita=7.53983   r=-7.46595
t=44   sita=7.53984   r=-7.46935
t=45   sita=7.53984   r=-7.4721
t=46   sita=7.53984   r=-7.47439
t=47   sita=7.53985   r=-7.47631
t=48   sita=7.53985   r=-7.47795
t=49   sita=7.53985   r=-7.47938
t=50   sita=7.53986   r=-7.48062
t=51   sita=7.53986   r=-7.48172
t=52   sita=7.53987   r=-7.4827
t=53   sita=7.53987   r=-7.48358
t=54   sita=7.53987   r=-7.48437
t=55   sita=7.53988   r=-7.48508
t=56   sita=7.53988   r=-7.48574
t=57   sita=7.53989   r=-7.48633
t=58   sita=7.5399   r=-7.48688
t=59   sita=7.5399   r=-7.48738
t=60   sita=7.53991   r=-7.48785
t=61   sita=7.53991   r=-7.48828
t=62   sita=7.53992   r=-7.48868
t=63   sita=7.53993   r=-7.48906
t=64   sita=7.53993   r=-7.48941
t=65   sita=7.53994   r=-7.48974
t=66   sita=7.53995   r=-7.49005
t=67   sita=7.53996   r=-7.49034
t=68   sita=7.53996   r=-7.49061
t=69   sita=7.53997   r=-7.49087
t=70   sita=7.53998   r=-7.49111
t=71   sita=7.53999   r=-7.49134
t=72   sita=7.54   r=-7.49156
t=73   sita=7.54   r=-7.49177
t=74   sita=7.54001   r=-7.49197
t=75   sita=7.54002   r=-7.49216
t=76   sita=7.54003   r=-7.49234
t=77   sita=7.54004   r=-7.49251
t=78   sita=7.54005   r=-7.49267
t=79   sita=7.54006   r=-7.49283
t=80   sita=7.54007   r=-7.49298
t=81   sita=7.54008   r=-7.49313
t=82   sita=7.54009   r=-7.49326
t=83   sita=7.5401   r=-7.4934
t=84   sita=7.54011   r=-7.49352
t=85   sita=7.54013   r=-7.49365
t=86   sita=7.54014   r=-7.49377
t=87   sita=7.54015   r=-7.49388
t=88   sita=7.54016   r=-7.49399
t=89   sita=7.54017   r=-7.49409
t=90   sita=7.54018   r=-7.4942
t=91   sita=7.5402   r=-7.4943
t=92   sita=7.54021   r=-7.49439
t=93   sita=7.54022   r=-7.49448
t=94   sita=7.54024   r=-7.49457
t=95   sita=7.54025   r=-7.49466
t=96   sita=7.54026   r=-7.49474
t=97   sita=7.54028   r=-7.49482
t=98   sita=7.54029   r=-7.4949
t=99   sita=7.5403   r=-7.49498
t=100   sita=7.54032   r=-7.49505
